STALPBR,BKCLASS,ZIPBR,DEPSUM,MSABR,UNINUMBR,ASSET,CNTYNAMB,ADDRESBR,YEAR,STCNTYBR,DEPSUMBR,MSANAMB,CERT,CITYBR,BRNUM,ID
GA,N,30308,8645894,12060,1424.0,16415964,Fulton,"600 Peachtree Street, N.E.",1994,13121,84385,"Atlanta-Sandy Springs-Roswell, GA",2155,Atlanta,0,1994_2155_0
GA,N,30909,7974897,12260,1392.0,18097491,Richmond,3645 Wheeler Road,1996,13245,43281,"Augusta-Richmond County, GA-SC",2115,Augusta,0,1996_2115_0
GA,NM,30512,7921425,0,10978.0,9895880,Union,177 Highway 515 East,2016,13291,852427,,16889,Blairsville,0,2016_16889_0
GA,N,30309,7805710,12060,13843.0,14156450,Fulton,"999 Peachtree Street, Suite 1200",1996,13121,921677,"Atlanta-Sandy Springs-Roswell, GA",20147,Atlanta,0,1996_20147_0
GA,N,30303,7362341,12060,1392.0,16904671,Fulton,191 Peachtree Street,1995,13121,2244130,"Atlanta-Sandy Springs-Roswell, GA",2115,Atlanta,0,1995_2115_0
GA,N,30309,7193240,12060,13843.0,9384341,Fulton,"999 Peachtree Street, Suite 1200",1995,13121,828909,"Atlanta-Sandy Springs-Roswell, GA",20147,Atlanta,0,1995_20147_0
GA,SM,30303,7091113,12060,550.0,20133030,Fulton,"1 Park Place, N.E.",1999,13121,2677864,"Atlanta-Sandy Springs-Roswell, GA",867,Atlanta,0,1999_867_0
GA,SM,30303,7050141,12060,550.0,17047874,Fulton,"1 Park Place, N.E.",1997,13121,3210521,"Atlanta-Sandy Springs-Roswell, GA",867,Atlanta,0,1997_867_0
GA,SM,30303,7037048,12060,550.0,17846951,Fulton,"1 Park Place, N.E.",1998,13121,2802108,"Atlanta-Sandy Springs-Roswell, GA",867,Atlanta,0,1998_867_0
GA,N,30303,7004031,12060,13843.0,8649542,Fulton,999 Peachtree Street,1994,13121,483001,"Atlanta-Sandy Springs-Roswell, GA",20147,Atlanta,0,1994_20147_0
GA,NM,30512,6888822,0,10978.0,8493727,Union,59 Highway 515,2009,13291,1268017,,16889,Blairsville,0,2009_16889_0
GA,NM,30512,6713083,0,10978.0,8258437,Union,59 Highway 515,2008,13291,1167142,,16889,Blairsville,0,2008_16889_0
GA,NM,30512,6498967,0,10978.0,7867212,Union,59 Highway 515,2015,13291,981104,,16889,Blairsville,0,2015_16889_0
GA,N,30303,6486346,12060,1392.0,12622515,Fulton,191 Peachtree Street,1994,13121,1882715,"Atlanta-Sandy Springs-Roswell, GA",2115,Atlanta,0,1994_2115_0
GA,NM,30512,6354173,0,10978.0,7640739,Union,59 Highway 515,2010,13291,1055715,,16889,Blairsville,0,2010_16889_0
GA,NM,30512,6266295,0,10978.0,7392760,Union,59 Highway 515,2011,13291,812756,,16889,Blairsville,0,2011_16889_0
GA,NM,30512,6199061,0,10978.0,7331344,Union,59 Highway 515,2014,13291,791958,,16889,Blairsville,0,2014_16889_0
GA,NM,30512,6059175,0,10978.0,7131536,Union,59 Highway 515,2013,13291,764692,,16889,Blairsville,0,2013_16889_0
GA,N,30326,5981498,12060,32882.0,6866169,Fulton,3550 Lenox Rd Ne,2025,13121,5981498,"Atlanta-Sandy Springs-Roswell, GA",26342,Atlanta,0,2025_26342_0
GA,NM,30512,5883738,0,10978.0,6729489,Union,59 Highway 515,2012,13291,645301,,16889,Blairsville,0,2012_16889_0
GA,SM,30303,5832122,12060,550.0,13293679,Fulton,"1 Park Place, N.E.",1996,13121,2086241,"Atlanta-Sandy Springs-Roswell, GA",867,Atlanta,0,1996_867_0
GA,NM,31768,5798375,0,14145.0,7389330,Colquitt,300 South Main Street,2017,13071,290661,,20504,Moultrie,0,2017_20504_0
GA,N,30326,5687727,12060,32882.0,6342985,Fulton,3550 Lenox Rd Ne,2023,13121,5687727,"Atlanta-Sandy Springs-Roswell, GA",26342,Atlanta,0,2023_26342_0
GA,N,30326,5678108,12060,32882.0,6460860,Fulton,3550 Lenox Rd Ne,2024,13121,5678108,"Atlanta-Sandy Springs-Roswell, GA",26342,Atlanta,0,2024_26342_0
GA,N,30326,5631578,12060,32882.0,6175672,Fulton,3550 Lenox Road Ne,2022,13121,5631578,"Atlanta-Sandy Springs-Alpharetta, GA",26342,Atlanta,0,2022_26342_0
GA,SM,30303,5532579,12060,550.0,11500816,Fulton,"1 Park Place, N.E.",1995,13121,2057393,"Atlanta-Sandy Springs-Roswell, GA",867,Atlanta,0,1995_867_0
GA,SM,30303,5295364,12060,550.0,10699004,Fulton,"1 Park Place, N.E.",1994,13121,1865819,"Atlanta-Sandy Springs-Roswell, GA",867,Atlanta,0,1994_867_0
GA,NM,31768,5185506,0,14145.0,6220168,Colquitt,225 South Main Street,2016,13071,248913,,20504,Moultrie,0,2016_20504_0
GA,N,30326,5138384,12060,32882.0,5706724,Fulton,3550 Lenox Road Ne,2021,13121,5138384,"Atlanta-Sandy Springs-Alpharetta, GA",26342,Atlanta,0,2021_26342_0
GA,SM,30303,5084287,12060,1393.0,7422999,Fulton,"55 Marietta Street, N.W.",1995,13121,632602,"Atlanta-Sandy Springs-Roswell, GA",2116,Atlanta,0,1995_2116_0
